X    Y
9.7686259551e-01   3.5729166738e-04
9.7701164792e-01   3.5723715915e-04
9.7716022425e-01   3.5718284156e-04
9.7730832444e-01   3.5712871448e-04
9.7745594842e-01   3.5707477776e-04
9.7760309610e-01   3.5702103128e-04
9.7774976743e-01   3.5696747489e-04
9.7789596232e-01   3.5691410846e-04
9.7804168071e-01   3.5686093184e-04
9.7818692253e-01   3.5680794490e-04
9.7833168771e-01   3.5675514750e-04
9.7847597616e-01   3.5670253952e-04
9.7861978784e-01   3.5665012081e-04
9.7876312265e-01   3.5659789123e-04
9.7890598055e-01   3.5654585067e-04
9.7904836144e-01   3.5649399897e-04
9.7919026528e-01   3.5644233601e-04
9.7933169198e-01   3.5639086166e-04
9.7947264147e-01   3.5633957578e-04
9.7961311370e-01   3.5628847825e-04
9.7975310859e-01   3.5623756893e-04
9.7989262607e-01   3.5618684769e-04
9.8003166607e-01   3.5613631441e-04
9.8017022853e-01   3.5608596894e-04
9.8030831338e-01   3.5603581117e-04
9.8044592055e-01   3.5598584097e-04
9.8058304998e-01   3.5593605821e-04
9.8071970159e-01   3.5588646276e-04
9.8085587533e-01   3.5583705449e-04
9.8099157112e-01   3.5578783328e-04
9.8112678890e-01   3.5573879901e-04
9.8126152860e-01   3.5568995154e-04
9.8139579016e-01   3.5564129076e-04
9.8152957351e-01   3.5559281653e-04
9.8166287859e-01   3.5554452875e-04
9.8179570533e-01   3.5549642727e-04
9.8192805366e-01   3.5544851199e-04
9.8205992353e-01   3.5540078278e-04
9.8219131487e-01   3.5535323951e-04
9.8232222761e-01   3.5530588207e-04
9.8245266170e-01   3.5525871033e-04
9.8258261706e-01   3.5521172418e-04
9.8271209363e-01   3.5516492350e-04
9.8284109135e-01   3.5511830817e-04
9.8296961016e-01   3.5507187806e-04
9.8309765000e-01   3.5502563307e-04
9.8322521080e-01   3.5497957307e-04
9.8335229250e-01   3.5493369794e-04
9.8347889504e-01   3.5488800758e-04
9.8360501835e-01   3.5484250186e-04
9.8373066238e-01   3.5479718067e-04
9.8385582706e-01   3.5475204390e-04
9.8398051234e-01   3.5470709143e-04
9.8410471815e-01   3.5466232314e-04
9.8422844443e-01   3.5461773893e-04
9.8435169113e-01   3.5457333868e-04
9.8447445817e-01   3.5452912227e-04
9.8459674551e-01   3.5448508960e-04
9.8471855308e-01   3.5444124056e-04
9.8483988082e-01   3.5439757503e-04
9.8496072868e-01   3.5435409290e-04
9.8508109659e-01   3.5431079407e-04
9.8520098449e-01   3.5426767842e-04
9.8532039234e-01   3.5422474585e-04
9.8543932006e-01   3.5418199624e-04
9.8555776761e-01   3.5413942950e-04
9.8567573492e-01   3.5409704550e-04
9.8579322193e-01   3.5405484415e-04
9.8591022860e-01   3.5401282534e-04
9.8602675485e-01   3.5397098896e-04
9.8614280065e-01   3.5392933491e-04
9.8625836592e-01   3.5388786308e-04
9.8637345061e-01   3.5384657336e-04
9.8648805467e-01   3.5380546567e-04
9.8660217804e-01   3.5376453988e-04
9.8671582067e-01   3.5372379589e-04
9.8682898249e-01   3.5368323362e-04
9.8694166346e-01   3.5364285294e-04
9.8705386352e-01   3.5360265377e-04
9.8716558262e-01   3.5356263600e-04
9.8727682069e-01   3.5352279952e-04
9.8738757769e-01   3.5348314425e-04
9.8749785357e-01   3.5344367008e-04
9.8760764826e-01   3.5340437690e-04
9.8771696171e-01   3.5336526463e-04
9.8782579388e-01   3.5332633316e-04
9.8793414471e-01   3.5328758240e-04
9.8804201414e-01   3.5324901225e-04
9.8814940213e-01   3.5321062261e-04
9.8825630862e-01   3.5317241338e-04
9.8836273355e-01   3.5313438448e-04
9.8846867689e-01   3.5309653580e-04
9.8857413857e-01   3.5305886725e-04
9.8867911854e-01   3.5302137874e-04
9.8878361676e-01   3.5298407017e-04
9.8888763316e-01   3.5294694144e-04
9.8899116771e-01   3.5290999248e-04
9.8909422035e-01   3.5287322317e-04
9.8919679104e-01   3.5283663344e-04
9.8929887971e-01   3.5280022318e-04
9.8940048632e-01   3.5276399232e-04
9.8950161082e-01   3.5272794075e-04
9.8960225317e-01   3.5269206839e-04
9.8970241331e-01   3.5265637515e-04
9.8980209119e-01   3.5262086094e-04
9.8990128677e-01   3.5258552567e-04
9.9000000000e-01   3.5255036925e-04
